ID,Name,Country,Reason
76561197999706926,Hastaloe,Russia,Speedhack
76561198302616850,sammy,International,VAC
76561198041694762,Jake,International,VAC
76561199027130717,lodomirski,International,VAC
76561198135767309,FlyingLandDolphinOfD,International,VAC
76561197994718821,Skidoosh,England,triggerbot &amp; avoiding a ban
76561197994718821,Skidoosh,England,ESP/Triggerbot
76561198799925338,KrimzoLive,International,VAC
76561198291899440,Dogsydogman2004,International,VAC
76561198164337978,ScariCC #GetRekt,International,VAC
76561198252936932,OffLights,International,VAC
76561198296077975,Ulf,International,VAC
76561198016219593,Firewire,International,VAC
76561198118176509,hadir,Syria,VAC
76561198055138297,John,Hungary,Multiaccounting in the same season
76561198104632991,bisquit,International,VAC
76561198067863053,froz,Turkey,"Leaking confidential information, Fraud"
76561198117247903,piggles,UnitedKingdom,Failure to provide 2 demo requests.
76561198079268376,Formin228,International,VAC
76561199005590758,Aces,Italy,VAC
76561198055452940,lukegameage,England,Aimbot
76561198141759436,Sailor_,International,VAC
76561198071643766,[CF]Alokosy,International,VAC
76561198063568246,morgan_,England,VAC
76561198008516242,rzr,Russia,VAC
76561198094572160,Polina,International,VAC
76561198126441646,Maikkeli,International,vac
76561198137497637,Abate,International,VAC
76561198178693793,RagingPacifist,Russia,VAC
76561198147078303,Un4given,Poland,Failure to provide 2 demo requests
76561198147078303,Un4given,Poland,Supporting ban evasion
76561198046128563,Levtchenko,Italy,VAC
76561198048921333,Piffmaster,International,VAC
76561198063909347,[FR] Raptor Jesus&amp;lt,International,VAC
76561198060334954,bebop,International,VAC
76561198874769756,LGBladeTF,International,VAC
76561198087800030,Odin.,Bulgaria,Failure to provide 2 demo requests.
76561198087800030,Odin.,Bulgaria,Continued exploit usage
76561198349681151,beroz,International,VAC
76561198997915306,CrimS0N,International,VAC
76561198204433060,Jakicar,Croatia,VAC
76561198130248421,DarkSpark,Russia,VAC ban
76561198053436309,t0MBa,Ukraine,VAC
76561198240126938,Roos,European,Demos provided
76561198875581259,s0ha.,Ukraine,Cheating
76561198166370610,MajorGanes,International,VAC
76561198044845362,Uncle Doe,Finland,VAC
76561198116235618,PinkPandaz,International,VAC
76561198236421064,llvm,International,VAC
76561198241583206,Java,International,VAC
76561198241583206,Java,International,Blacklisted
76561198058197867,MrAngelJuice,England,VAC
76561198007520192,snake eyes,International,VAC
76561198435159373,Moonshine_,Russia,Aimbot + VAC
76561198105604250,Croustibate,International,VAC
76561198117533035,MiaK,International,VAC
76561197972274052,Vitaly,International,VAC
76561198136413070,tejrcz,International,VAC
76561197996604057,Warrior,Russia,VAC
76561198360430859,TEMEPok,International,VAC
76561198289817839,AngelJenx,International,VAC
76561198275605418,daszil,Romania,VAC
76561198129483880,AL_M,International,VAC
76561198045020109,Kanga,International,VAC
76561198014318942,Something Will Cum,England,VAC
76561198066156377,Cucuy,International,VAC
76561197996037665,Original,Lithuania,VAC
76561198125511715,unknown,International,VAC ban
76561198050677701,R4yder,International,Intentionally adding a banned player to 
76561198827853291,phoon,International,VAC ban
76561197969970403,ostravaCZek,CzechRepublic,VAC
76561198086057022,Sary,International,VAC
76561197997437364,gamover,Ukraine,VAC
76561198062588245,Yatesljr the Water B,International,VAC
76561198340683326,me,Ukraine,VAC
76561198860992353,Vava,International,VAC
76561197987359370,mastdaeff,International,VAC
76561198003675000,good_luck,Russia,VAC
76561198028587750,nick :(,Russia,Playing in the League with 2 accounts
76561198008130964,Bam Bam,International,VAC
76561198076208638,Marcelek,International,VAC ban
76561198112106436,rAzz.INTEL,Portugal,Alt of reasoNNN S2
76561198112106436,rAzz.INTEL,Portugal,Blacklisted
76561198305078123,Perpure,International,VAC
76561198049603494,Kurakao,European,Knowingly playing with alt
76561198070576037,daqqs,UnitedKingdom,VAC
76561198127347910,mry,Israel,VAC
76561198018146053,esk,Ukraine,VAC
76561198098448101,JustRogo,International,VAC
76561198098448101,JustRogo,International,Blacklisted
76561198002409462,Arma,Russia,Second failure to upload demos
76561198085686174,UnhappyAngel,International,VAC
76561198029370007,Swordstone,UnitedStates,VAC
76561198305088545,Mikey897,Iceland,VAC
76561198950848903,ukle,International,Non-TF2 VAC
76561198042881960,Staitukas,Lithuania,VAC
76561197962552254,Insert,International,VAC
76561198020487771,Luxs,Lithuania,VAC
76561198080964954,Sn3ky,International,VAC
76561198041132632,melonz,England,Second account of fearny
76561198041132632,melonz,England,Blacklisted
76561198119443823,Jake,International,VAC
76561198063854949,Staregineer,International,VAC ban
76561198301332732,ReX,Netherlands,ESP
76561197963169009,Random,Israel,Cheating inpickups on alts
76561198272588773,UnoriginalUsername,International,VAC
76561198387514327,Augustin,France,VAC
76561199676706714,kieran watkins,International,VAC
76561198083336629,cramik,UnitedStates,VAC
76561198083336629,cramik,UnitedStates,VAC
76561198128772705,coolwear,International,VAC
76561198142269432,Batman,International,VAC
76561198167028091,RafaloGimba,Poland,VAC
76561198398329432,locksmith,Russia,VAC
76561198022529321,prismaGod,International,VAC Banned
76561198376299092,swagtony,TrinidadTobago,VAC ban
76561198144542222,Uncut is Mad,Germany,VAC
76561198119780837,Max,International,VAC
76561198045733840,DatSpartan,International,VAC
76561198086257695,somebody,International,VAC ban
76561198048660975,DjCupcake,Denmark,VAC
76561198277937171,DCboy,International,VAC
76561198260271248,_XomberT_,International,VAC
76561198084447725,Fluffy,Netherlands,Failure to provide 2 demo requests.
76561198084447725,Fluffy,Netherlands,Racism
76561199014412385,kirill,International,VAC
76561198164492862,Total,International,VAC ban
76561198023705610,CreatiVe,Russia,Non-permitted acquisition of profits
76561198262519986,pipa,International,VAC
76561198412565541,Levi,International,VAC
